Code;Betekenis;;;;;;;;;;;;;
A;Landbouw, bosbouw en visserij;;;;;;;;;;;;;
;;;;;;;;;;;;;;
1;Landbouw, jacht en dienstverlening voor de landbouw en jacht ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
11;Teelt van eenjarige gewassen;;;;;;;;;;;;;
111;Teelt van granen, peulvruchten en oliehoudende zaden;;;;;;;;;;;;;
113;Teelt van groenten en wortel- en knolgewassen;;;;;;;;;;;;;
1131;Teelt van groenten in de volle grond;;;;;;;;;;;;;
1132;Teelt van groenten onder glas;;;;;;;;;;;;;
1133;Teelt van paddenstoelen;;;;;;;;;;;;;
1134;Teelt van aardappels en overige wortel- en knolgewassen;;;;;;;;;;;;;
116;Teelt van vezelgewassen;;;;;;;;;;;;;
119;Teelt van overige eenjarige gewassen;;;;;;;;;;;;;
1191;Teelt van snijbloemen en snijheesters in de volle grond;;;;;;;;;;;;;
1192;Teelt van snijbloemen en snijheesters onder glas;;;;;;;;;;;;;
1193;Teelt van voedergewassen;;;;;;;;;;;;;
1199;Teelt van overige eenjarige gewassen (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
12;Teelt van meerjarige gewassen;;;;;;;;;;;;;
121;Druiventeelt;;;;;;;;;;;;;
124;Teelt van hardfruit en steenvruchten;;;;;;;;;;;;;
1241;Teelt van appels en peren;;;;;;;;;;;;;
1242;Teelt van steenvruchten;;;;;;;;;;;;;
125;Teelt van overige boomvruchten, kleinfruit en noten;;;;;;;;;;;;;
1251;Teelt van aardbeien in de volle grond;;;;;;;;;;;;;
1252;Teelt van aardbeien onder glas;;;;;;;;;;;;;
1253;Teelt van houtig kleinfruit in de volle grond (incl overige boomvruchten en noten);;;;;;;;;;;;;
1254;Teelt van houtig kleinfruit onder glas;;;;;;;;;;;;;
127;Teelt van gewassen bestemd voor de vervaardiging van dranken;;;;;;;;;;;;;
128;Teelt van specerijgewassen en van aromatische en medicinale gewassen;;;;;;;;;;;;;
129;Teelt van overige meerjarige gewassen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
13;Teelt van sierplanten;;;;;;;;;;;;;
130;Teelt van sierplanten;;;;;;;;;;;;;
1301;Teelt van bloembollen;;;;;;;;;;;;;
1302;Teelt van perkplanten in de volle grond;;;;;;;;;;;;;
1303;Teelt van perkplanten onder glas;;;;;;;;;;;;;
1304;Teelt van potplanten onder glas             ;;;;;;;;;;;;;
1305;Teelt van boomkwekerijgewassen in de volle grond;;;;;;;;;;;;;
1309;Teelt van overige sierplanten in de volle grond;;;;;;;;;;;;;
;;;;;;;;;;;;;;
14;Fokken en houden van dieren;;;;;;;;;;;;;
141;Fokken en houden van melkvee;;;;;;;;;;;;;
1411;Houden van melkvee;;;;;;;;;;;;;
1412;Opfokken van jongvee voor de melkveehouderij;;;;;;;;;;;;;
142;Fokken en houden van runderen (geen melkvee);;;;;;;;;;;;;
1421;Houden van vleeskalveren;;;;;;;;;;;;;
1422;Overige vleesveehouderij en zoogkoeienbedrijven;;;;;;;;;;;;;
143;Fokken en houden van paarden en ezels;;;;;;;;;;;;;
145;Fokken en houden van schapen en geiten;;;;;;;;;;;;;
1451;Fokken en houden van schapen;;;;;;;;;;;;;
1452;Fokken en houden van geiten                                                                                                                                                                                                                                        ;;;;;;;;;;;;;
146;Fokken en houden van varkens;;;;;;;;;;;;;
1461;Fokvarkens- en vermeerderingsbedrijven;;;;;;;;;;;;;
1462;Vleesvarkensbedrijven;;;;;;;;;;;;;
1463;Gesloten en deels gesloten varkensbedrijven;;;;;;;;;;;;;
147;Opfokken en/of houden van pluimvee;;;;;;;;;;;;;
1471;Opfokken en/of houden van  leghennen;;;;;;;;;;;;;
1472;Opfokken en/of houden van vleeskuikens ;;;;;;;;;;;;;
1473;Opfokken en/of houden van ouderdieren van leghennen en vleeskuikens;;;;;;;;;;;;;
1479;Opfokken en/of houden van overig pluimvee;;;;;;;;;;;;;
149;Fokken en houden van overige dieren;;;;;;;;;;;;;
1491;Fokken en houden van edelpelsdieren;;;;;;;;;;;;;
1499;Fokken en houden van overige dieren (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
15;Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ;;;;;;;;;;;;;
150;Akker- en/of tuinbouw in combinatie met het fokken en houden van dieren ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
16;Dienstverlening voor de landbouw: behandeling van gewassen en zaden na de oogst;;;;;;;;;;;;;
161;Dienstverlening voor de akker- en/of tuinbouw ;;;;;;;;;;;;;
162;Dienstverlening voor het fokken en houden van dieren ;;;;;;;;;;;;;
163;Behandeling van gewassen na de oogst;;;;;;;;;;;;;
164;Behandeling van zaden voor vermeerdering;;;;;;;;;;;;;
;;;;;;;;;;;;;;
17;Jacht;;;;;;;;;;;;;
170;Jacht;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
2;Bosbouw, exploitatie van bossen en dienstverlening voor de bosbouw;;;;;;;;;;;;;
;;;;;;;;;;;;;;
21;Bosbouw;;;;;;;;;;;;;
210;Bosbouw;;;;;;;;;;;;;
;;;;;;;;;;;;;;
22;Exploitatie van bossen;;;;;;;;;;;;;
220;Exploitatie van bossen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
24;Dienstverlening voor de bosbouw;;;;;;;;;;;;;
240;Dienstverlening voor de bosbouw;;;;;;;;;;;;;
;;;;;;;;;;;;;;
3;Visserij en kweken van vis en schaaldieren ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
31;Visserij;;;;;;;;;;;;;
311;Zee- en kustvisserij;;;;;;;;;;;;;
312;Binnenvisserij;;;;;;;;;;;;;
;;;;;;;;;;;;;;
32;Kweken van vis en schaaldieren ;;;;;;;;;;;;;
321;Kweken van zeevis en -schaaldieren;;;;;;;;;;;;;
322;Kweken van zoetwatervis en -schaaldieren;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
B;Winning van delfstoffen ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
6;Winning van aardolie en aardgas;;;;;;;;;;;;;
;;;;;;;;;;;;;;
61;Winning van aardolie;;;;;;;;;;;;;
610;Winning van aardolie;;;;;;;;;;;;;
;;;;;;;;;;;;;;
62;Winning van aardgas;;;;;;;;;;;;;
620;Winning van aardgas;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
8;Winning van delfstoffen (geen olie en gas);;;;;;;;;;;;;
;;;;;;;;;;;;;;
81;Winning van zand, grind en klei;;;;;;;;;;;;;
812;Winning van zand, grind en klei;;;;;;;;;;;;;
;;;;;;;;;;;;;;
89;Winning van overige delfstoffen;;;;;;;;;;;;;
892;Winning van turf ;;;;;;;;;;;;;
893;Winning van zout;;;;;;;;;;;;;
899;Winning van overige delfstoffen (rest);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
9;Dienstverlening voor de winning van delfstoffen ;;;;;;;;;;;;;
;;;;;;;;;;;;;;
91;Dienstverlening voor de winning van aardolie en aardgas;;;;;;;;;;;;;
910;Dienstverlening voor de winning van aardolie en aardgas;;;;;;;;;;;;;
;;;;;;;;;;;;;;
99;Dienstverlening voor de winning van delfstoffen (geen olie en gas);;;;;;;;;;;;;
990;Dienstverlening voor de winning van delfstoffen (geen olie en gas);;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
 C;Industrie;;;;;;;;;;;;;
;;;;;;;;;;;;;;
10;Vervaardiging van voedingsmiddelen;;;;;;;;;;;;;
;;;;;;;;;;;;;;
101;Slachterijen en vleesverwerking;;;;;;;;;;;;;
1011;Slachterijen (geen pluimvee-);;;;;;;;;;;;;
1012;Pluimveeslachterijen;;;;;;;;;;;;;
1013;Vleesverwerking (niet tot maaltijden);;;;;;;;;;;;;
;;;;;;;;;;;;;;
102;Visverwerking;;;;;;;;;;;;;
1020;Visverwerking;;;;;;;;;;;;;
;;;;;;;;;;;;;;
103;Verwerking van aardappels, groente en fruit;;;;;;;;;;;;;
1031;Vervaardiging van aardappelproducten;;;;;;;;;;;;;
1032;Vervaardiging van fruit- en groentesap;;;;;;;;;;;;;
1039;Verwerking van groente en fruit (niet tot sap en maaltijden);;;;;;;;;;;;;
;;;;;;;;;;;;;;
104;Vervaardiging van plantaardige en dierlijke oliën en vetten ;;;;;;;;;;;;;
